province_code,district_code,district_name_en,district_name_th
TH47,TH4711,Akat Amnuai,อากาศอำนวย
TH75,TH7503,Amphawa,อัมพวา
TH81,TH8105,Ao Luek,อ่าวลึก
TH27,TH2706,Aranyaprathet,อรัญประเทศ
TH45,TH4514,At Samat,อาจสามารถ
TH96,TH9603,Bacho,บาเจาะ
TH36,TH3607,Bamnet Narong,บำเหน็จณรงค์
TH20,TH2002,Ban Bueng,บ้านบึง
TH21,TH2102,Ban Chang,บ้านฉาง
TH31,TH3121,Ban Dan,บ้านด่าน
TH64,TH6402,Ban Dan Lan Hoi,บ้านด่านลานหอย
TH41,TH4111,Ban Dung,บ้านดุง
TH40,TH4002,Ban Fang,บ้านฝาง
TH40,TH4024,Ban Haet,บ้านแฮด
TH51,TH5103,Ban Hong,บ้านโฮ่ง
TH70,TH7010,Ban Kha,บ้านคา
TH21,TH2105,Ban Khai,บ้านค่าย
TH53,TH5306,Ban Khok,บ้านโคก
TH36,TH3602,Ban Khwao,บ้านเขว้า
TH31,TH3108,Ban Kruat,บ้านกรวด
TH76,TH7607,Ban Laem,บ้านแหลม
TH76,TH7606,Ban Lat,บ้านลาด
TH55,TH5503,Ban Luang,บ้านหลวง
TH30,TH3005,Ban Lueam,บ้านเหลื่อม
TH31,TH3119,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์
TH16,TH1606,Ban Mi,บ้านหมี่
TH19,TH1906,Ban Mo,บ้านหมอ
TH47,TH4710,Ban Muang,บ้านม่วง
TH26,TH2603,Ban Na,บ้านนา
TH84,TH8413,Ban Na Doem,บ้านนาเดิม
TH84,TH8412,Ban Na San,บ้านนาสาร
TH48,TH4804,Ban Phaeng,บ้านแพง
TH74,TH7403,Ban Phaeo,บ้านแพ้ว
TH40,TH4010,Ban Phai,บ้านไผ่
TH24,TH2405,Ban Pho,บ้านโพธิ์
TH14,TH1416,Ban Phraek,บ้านแพรก
TH41,TH4117,Ban Phue,บ้านผือ
TH70,TH7005,Ban Pong,บ้านโป่ง
TH61,TH6106,Ban Rai,บ้านไร่
TH25,TH2506,Ban Sang,บ้านสร้าง
TH84,TH8409,Ban Ta Khun,บ้านตาขุน
TH63,TH6302,Ban Tak,บ้านตาก
TH36,TH3611,Ban Thaen,บ้านแท่น
TH51,TH5107,Ban Thi,บ้านธิ
TH14,TH1405,Bang Ban,บางบาล
TH11,TH1102,Bang Bo,บางบ่อ
TH10,TH1050,Bang Bon,บางบอน
TH12,TH1204,Bang Bua Thong,บางบัวทอง
TH93,TH9309,Bang Kaeo,บางแก้ว
TH10,TH1006,Bang Kapi,บางกะปิ
TH10,TH1040,Bang Khae,บางแค
TH80,TH8017,Bang Khan,บางขัน
TH10,TH1005,Bang Khen,บางเขน
TH24,TH2402,Bang Khla,บางคล้า
TH10,TH1031,Bang Kho Laem,บางคอแหลม
TH75,TH7502,Bang Khonthi,บางคนที
TH10,TH1021,Bang Khun Thian,บางขุนเทียน
TH90,TH9014,Bang Klam,บางกล่ำ
TH65,TH6505,Bang Krathum,บางกระทุ่ม
TH12,TH1202,Bang Kruai,บางกรวย
TH20,TH2004,Bang Lamung,บางละมุง
TH73,TH7305,Bang Len,บางเลน
TH66,TH6605,Bang Mun Nak,บางมูลนาก
TH10,TH1047,Bang Na,บางนา
TH24,TH2403,Bang Nam Priao,บางน้ำเปรี้ยว
TH14,TH1406,Bang Pa-In,บางปะอิน
TH14,TH1407,Bang Pahan,บางปะหัน
TH24,TH2404,Bang Pakong,บางปะกง
TH70,TH7006,Bang Phae,บางแพ
TH10,TH1025,Bang Phlat,บางพลัด
TH11,TH1103,Bang Phli,บางพลี
TH72,TH7204,Bang Pla Ma,บางปลาม้า
TH17,TH1702,Bang Rachan,บางระจัน
TH10,TH1004,Bang Rak,บางรัก
TH65,TH6504,Bang Rakam,บางระกำ
TH14,TH1404,Bang Sai,บางไทร
TH14,TH1413,Bang Sai,บางซ้าย
TH11,TH1106,Bang Sao Thong,บางเสาธง
TH77,TH7704,Bang Saphan,บางสะพาน
TH77,TH7705,Bang Saphan Noi,บางสะพานน้อย
TH10,TH1029,Bang Sue,บางซื่อ
TH12,TH1203,Bang Yai,บางใหญ่
