sub_district_code,post_code
TH420803,42140
TH321305,32230
TH550711,55110
TH450804,45230
TH471101,47170
TH140802,13120
TH370701,37000
TH150401,14120
TH220508,22150
TH200117,34110
TH200117,20000
TH341914,34110
TH341914,20000
TH560313,56110
TH600504,56110
TH620103,56110
TH700108,56110
TH770302,56110
TH840401,56110
TH931103,56110
TH100502,10220
TH230106,23000
TH270601,27120
TH102009,10700
TH260304,26110
TH451401,48000
TH451401,45160
TH480107,48000
TH480107,45160
TH320306,32120
TH470409,47130
TH321401,32140
TH330802,33150
TH350605,35130
TH501704,50260
TH451608,49120
TH451608,45000
TH490305,49120
TH490305,45000
TH100804,10100
TH160510,15150
TH521005,52150
TH310104,36120
TH310104,31000
TH360410,36120
TH360410,31000
TH200201,20170
TH610611,20170
TH701002,20170
TH170206,16130
TH451403,45160
TH411107,41190
TH410117,41000
TH411106,41190
TH502501,58130
TH310903,31120
TH321008,32150
TH130104,21130
TH130104,12000
TH210203,21130
TH210203,12000
TH141402,50150
TH141402,20140
TH141402,13210
TH200618,50150
TH200618,20140
TH200618,13210
TH500611,50150
TH500611,20140
TH500611,13210
TH720709,50150
TH720709,20140
TH720709,13210
TH102005,10700
TH160605,15180
TH180602,17130
TH361401,36260
TH410609,41320
TH412401,41130
TH321015,32150
TH360701,36160
TH140304,13260
TH341122,41130
TH341122,34130
TH412301,41130
TH412301,34130
TH570908,57220
TH270613,53000
TH270613,31000
TH270613,27120
TH312101,53000
TH312101,31000
TH312101,27120
TH530111,53000
TH530111,31000
TH530111,27120
TH640202,53000
TH640202,31000
TH640202,27120
TH530110,53000
TH530702,53220
TH361011,36110
TH720904,36110
TH400802,52220
TH400802,40250
TH520201,52220
TH520201,40250
TH650304,52220
TH650304,40250
TH311303,57100
TH311303,45160
TH311303,31230
TH451410,57100
TH451410,45160
TH451410,31230
TH570103,57100
TH570103,45160
TH570103,31230
TH360403,43110
TH360403,43000
TH360403,36120
TH430109,43110
TH430109,43000
TH430109,36120
TH430205,43110
TH430205,43000
TH430205,36120
TH411102,41190
TH550301,55190
TH530402,53110
TH400206,45150
TH400206,43100
TH400206,40270
TH400206,40170
TH400907,45150
TH400907,43100
TH400907,40270
TH400907,40170
TH431403,45150
TH431403,43100
TH431403,40270
TH431403,40170
TH450206,45150
TH450206,43100
TH450206,40270
TH450206,40170
TH150105,14000
TH520508,52110
TH402401,40110
TH302002,40110
TH302002,36120
TH302002,30140
TH360402,40110
TH360402,36120
TH360402,30140
TH402503,40110
TH402503,36120
TH402503,30140
TH412006,41260
TH141404,13210
TH250703,25130
TH510301,51130
TH520509,52110
TH150108,14000
TH530202,53140
TH530202,49120
TH530202,48130
TH530202,36150
TH530202,36110
TH530202,27000
TH530202,18000
TH600111,53140
TH600111,49120
TH600111,48130
TH600111,36150
TH600111,36110
TH600111,27000
TH600111,18000
TH640510,53140
TH640510,49120
TH640510,48130
TH640510,36150
TH640510,36110
TH640510,27000
TH640510,18000
TH191302,53140
TH191302,49120
TH191302,48130
TH191302,36150
TH191302,36110
TH191302,27000
TH191302,18000
TH270102,53140
TH270102,49120
TH270102,48130
TH270102,36150
TH270102,36110
TH270102,27000
TH270102,18000
TH361004,53140
TH361004,49120
TH361004,48130
TH361004,36150
TH361004,36110
TH361004,27000
TH361004,18000
TH361204,53140
TH361204,49120
TH361204,48130
TH361204,36150
TH361204,36110
TH361204,27000
TH361204,18000
TH480712,53140
TH480712,49120
TH480712,48130
TH480712,36150
TH480712,36110
TH480712,27000
TH480712,18000
TH490307,53140
TH490307,49120
TH490307,48130
TH490307,36150
TH490307,36110
TH490307,27000
TH490307,18000
TH200507,30210
TH200507,20160
TH300806,30210
TH300806,20160
TH610405,30210
TH610405,20160
TH710113,30210
TH710113,20160
TH502201,50360
TH540408,58110
TH540408,54130
TH580401,58110
TH580401,54130
TH480806,48150
TH701001,52100
TH520115,52100
TH140803,13120
TH341919,34110
TH210501,36240
TH210501,21120
TH360105,36240
TH360105,21120
TH360603,40140
TH360603,39000
TH360603,36130
TH390106,40140
TH390106,39000
TH390106,36130
TH400707,40140
TH400707,39000
TH400707,36130
TH410103,41000
TH900711,41000
TH140507,13250
TH140717,13220
TH110502,10290
TH521302,52240
TH390305,49110
TH390305,48190
TH390305,41160
TH390305,40000
TH390305,39140
TH400110,49110
TH400110,48190
TH400110,41160
TH400110,40000
TH400110,39140
TH411712,49110
TH411712,48190
TH411712,41160
TH411712,40000
TH411712,39140
TH481005,49110
TH481005,48190
TH481005,41160
TH481005,40000
TH481005,39140
TH490506,49110
TH490506,48190
TH490506,41160
TH490506,40000
TH490506,39140
TH160118,15000
TH390502,53180
TH390502,49000
TH390502,41260
TH390502,40160
TH390502,40150
TH390502,39270
TH402201,53180
TH402201,49000
TH402201,41260
TH402201,40160
TH402201,40150
TH402201,39270
TH402302,53180
TH402302,49000
TH402302,41260
TH402302,40160
TH402302,40150
TH402302,39270
TH412004,53180
TH412004,49000
TH412004,41260
TH412004,40160
TH412004,40150
TH412004,39270
TH490103,53180
TH490103,49000
TH490103,41260
TH490103,40160
TH490103,40150
TH490103,39270
TH530602,53180
TH530602,49000
TH530602,41260
TH530602,40160
TH530602,40150
TH530602,39270
TH670109,53180
TH670109,49000
TH670109,41260
TH670109,40160
TH670109,40150
TH670109,39270
TH530708,53120
TH200103,20000
TH190608,18270
TH311302,31230
TH451806,45000
TH141510,13150
TH360201,36170
TH521004,52150
TH130103,54120
TH130103,51000
TH130103,50120
TH130103,48000
TH130103,12000
TH480109,54120
TH480109,51000
TH480109,50120
TH480109,48000
TH480109,12000
TH501207,54120
TH501207,51000
TH501207,50120
TH501207,48000
TH501207,12000
TH510112,54120
TH510112,51000
TH510112,50120
TH510112,48000
TH510112,12000
TH540602,54120
TH540602,51000
TH540602,50120
TH540602,48000
TH540602,12000
TH650804,54120
TH650804,51000
TH650804,50120
TH650804,48000
TH650804,12000
TH670319,54120
TH670319,51000
TH670319,50120
TH670319,48000
TH670319,12000
TH800604,54120
TH800604,51000
TH800604,50120
TH800604,48000
TH800604,12000
TH810509,54120
TH810509,51000
TH810509,50120
TH810509,48000
TH810509,12000
TH940409,54120
TH940409,51000
TH940409,50120
TH940409,48000
TH940409,12000
TH190802,18190
TH160603,17000
TH160603,15110
TH180102,17000
TH180102,15110
TH640106,17000
TH640106,15110
TH670206,17000
TH670206,15110
TH140411,13190
TH140116,53000
TH140116,30000
TH140116,13190
TH140116,13000
TH140418,53000
TH140418,30000
TH140418,13190
TH140418,13000
TH300112,53000
TH300112,30000
TH300112,13190
TH300112,13000
TH530103,53000
TH530103,30000
TH530103,13190
TH530103,13000
TH740115,53000
TH740115,30000
TH740115,13190
TH740115,13000
TH800202,53000
TH800202,30000
TH800202,13190
TH800202,13000
TH340412,36130
TH340412,34320
TH360601,36130
TH360601,34320
TH400403,40240
TH412202,41380
TH130105,12000
TH141210,13110
TH140604,13160
TH310801,31180
TH441104,44210
TH140516,13250
TH720705,13250
TH760106,13250
TH540406,54130
TH210107,52000
TH210107,21000
TH520109,52000
TH520109,21000
TH190402,18150
TH401009,40110
TH360108,36000
TH400204,56130
TH400204,54130
TH400204,49110
TH400204,47290
TH400204,41150
TH400204,40270
TH411907,56130
TH411907,54130
TH411907,49110
TH411907,47290
TH411907,41150
TH411907,40270
TH471601,56130
TH471601,54130
TH471601,49110
TH471601,47290
TH471601,41150
TH471601,40270
TH490507,56130
TH490507,54130
TH490507,49110
TH490507,47290
TH490507,41150
TH490507,40270
TH540405,56130
TH540405,54130
TH540405,49110
TH540405,47290
TH540405,41150
TH540405,40270
TH560705,56130
TH560705,54130
TH560705,49110
TH560705,47290
TH560705,41150
TH560705,40270
TH140601,13160
TH140713,13220
TH141216,50280
TH141216,50160
TH141216,18210
TH141216,13110
TH190703,50280
TH190703,50160
TH190703,18210
TH190703,13110
TH500203,50280
TH500203,50160
TH500203,18210
TH500203,13110
TH501006,50280
TH501006,50160
TH501006,18210
TH501006,13110
TH730405,50280
TH730405,50160
TH730405,18210
TH730405,13110
TH410112,41000
TH300501,30350
TH140417,13220
TH140417,13190
TH140711,13220
TH140711,13190
TH501206,50120
TH341008,34230
TH120306,56000
TH120306,40220
TH120306,30410
TH120306,30250
TH120306,30000
TH120306,24000
TH120306,13240
TH120306,13150
TH120306,13000
TH120306,12000
TH120306,11140
TH120306,11120
TH120603,56000
TH120603,40220
TH120603,30410
TH120603,30250
TH120603,30000
TH120603,24000
TH120603,13240
TH120603,13150
TH120603,13000
TH120603,12000
TH120603,11140
TH120603,11120
TH130102,56000
TH130102,40220
TH130102,30410
TH130102,30250
TH130102,30000
TH130102,24000
TH130102,13240
TH130102,13150
TH130102,13000
TH130102,12000
TH130102,11140
TH130102,11120
TH140115,56000
TH140115,40220
TH140115,30410
TH140115,30250
TH140115,30000
TH140115,24000
TH140115,13240
TH140115,13150
TH140115,13000
TH140115,12000
TH140115,11140
TH140115,11120
TH141512,56000
TH141512,40220
TH141512,30410
TH141512,30250
TH141512,30000
TH141512,24000
TH141512,13240
TH141512,13150
TH141512,13000
TH141512,12000
TH141512,11140
TH141512,11120
TH141602,56000
TH141602,40220
TH141602,30410
TH141602,30250
TH141602,30000
TH141602,24000
TH141602,13240
TH141602,13150
TH141602,13000
TH141602,12000
TH141602,11140
TH141602,11120
TH240103,56000
TH240103,40220
TH240103,30410
TH240103,30250
TH240103,30000
TH240103,24000
TH240103,13240
TH240103,13150
TH240103,13000
TH240103,12000
TH240103,11140
TH240103,11120
TH300113,56000
TH300113,40220
TH300113,30410
TH300113,30250
TH300113,30000
TH300113,24000
TH300113,13240
TH300113,13150
TH300113,13000
TH300113,12000
TH300113,11140
TH300113,11120
TH300208,56000
TH300208,40220
TH300208,30410
TH300208,30250
TH300208,30000
TH300208,24000
TH300208,13240
TH300208,13150
TH300208,13000
TH300208,12000
TH300208,11140
TH300208,11120
TH302209,56000
TH302209,40220
TH302209,30410
TH302209,30250
TH302209,30000
TH302209,24000
TH302209,13240
TH302209,13150
TH302209,13000
TH302209,12000
TH302209,11140
TH302209,11120
TH400609,56000
TH400609,40220
TH400609,30410
TH400609,30250
TH400609,30000
TH400609,24000
TH400609,13240
TH400609,13150
TH400609,13000
TH400609,12000
TH400609,11140
TH400609,11120
TH560111,56000
TH560111,40220
TH560111,30410
TH560111,30250
TH560111,30000
TH560111,24000
TH560111,13240
TH560111,13150
TH560111,13000
TH560111,12000
TH560111,11140
TH560111,11120
TH710609,56000
TH710609,40220
TH710609,30410
TH710609,30250
TH710609,30000
TH710609,24000
TH710609,13240
TH710609,13150
TH710609,13000
TH710609,12000
TH710609,11140
TH710609,11120
TH730615,56000
TH730615,40220
TH730615,30410
TH730615,30250
TH730615,30000
TH730615,24000
TH730615,13240
TH730615,13150
TH730615,13000
TH730615,12000
TH730615,11140
TH730615,11120
TH801207,56000
TH801207,40220
TH801207,30410
TH801207,30250
TH801207,30000
TH801207,24000
TH801207,13240
TH801207,13150
TH801207,13000
TH801207,12000
TH801207,11140
TH801207,11120
TH900705,56000
TH900705,40220
TH900705,30410
TH900705,30250
TH900705,30000
TH900705,24000
TH900705,13240
TH900705,13150
TH900705,13000
TH900705,12000
TH900705,11140
TH900705,11120
TH270608,27120
TH160419,15130
TH560402,56160
TH400402,40210
TH160619,15110
TH190601,53120
TH190601,43130
TH190601,18130
TH190601,16120
TH170404,53120
TH170404,43130
TH170404,18130
TH170404,16120
TH430703,53120
TH430703,43130
TH430703,18130
TH430703,16120
TH530706,53120
TH530706,43130
TH530706,18130
TH530706,16120
TH760111,53120
TH760111,43130
TH760111,18130
TH760111,16120
TH411111,43160
TH411111,41190
TH430803,43160
TH430803,41190
TH700510,43160
TH700510,41190
TH141509,26110
TH141509,25110
TH141509,21110
TH141509,13150
TH210308,26110
TH210308,25110
TH210308,21110
TH210308,13150
TH250209,26110
TH250209,25110
TH250209,21110
TH250209,13150
TH260301,26110
TH260301,25110
TH260301,21110
TH260301,13150
TH630305,26110
TH630305,25110
TH630305,21110
TH630305,13150
TH640604,26110
TH640604,25110
TH640604,21110
TH640604,13150
TH661201,26110
TH661201,25110
TH661201,21110
TH661201,13150
TH841301,26110
TH841301,25110
TH841301,21110
TH841301,13150
TH850304,26110
TH850304,25110
TH850304,21110
TH850304,13150
TH860112,26110
TH860112,25110
TH860112,21110
TH860112,13150
TH900301,26110
TH900301,25110
TH900301,21110
TH900301,13150
TH920407,26110
TH920407,25110
TH920407,21110
TH920407,13150
TH931102,26110
TH931102,25110
TH931102,21110
TH931102,13150
TH130708,12160
TH402103,40170
TH540601,54120
TH520507,52110
TH190208,18110
TH650109,18110
TH500206,50240
TH471704,51000
TH471704,47230
TH510108,51000
TH510108,47230
TH140404,16120
TH140404,13190
TH140404,13160
TH140613,16120
TH140613,13190
TH140613,13160
TH170405,16120
TH170405,13190
TH170405,13160
TH310906,52100
TH310906,50150
TH310906,49160
TH310906,36120
TH310906,31120
TH360404,52100
TH360404,50150
TH360404,49160
TH360404,36120
TH360404,31120
TH490704,52100
TH490704,50150
TH490704,49160
TH490704,36120
TH490704,31120
TH500607,52100
TH500607,50150
TH500607,49160
TH500607,36120
TH500607,31120
TH520114,52100
TH520114,50150
TH520114,49160
TH520114,36120
TH520114,31120
TH130707,12160
TH400115,40000
TH310203,31190
TH141202,13110
TH480401,48140
TH401001,40110
TH100110,10200
TH360702,36160
TH360702,36110
TH361006,36160
TH361006,36110
TH550304,55190
TH140612,13160
TH320515,32140
TH140603,13160
TH141208,43120
TH141208,30310
TH141208,24140
TH141208,13110
TH240501,43120
TH240501,30310
TH240501,24140
TH240501,13110
TH300115,43120
TH300115,30310
TH300115,24140
TH300115,13110
TH430513,43120
TH430513,30310
TH430513,24140
TH430513,13110
TH720112,43120
TH720112,30310
TH720112,24140
TH720112,13110
TH920118,43120
TH920118,30310
TH920118,24140
TH920118,13110
TH421205,42240
TH471701,47230
TH250108,25230
TH141601,13240
TH150503,14150
TH260302,39000
TH260302,26110
TH390108,39000
TH390108,26110
TH650210,39000
TH650210,26110
TH931004,39000
TH931004,26110
TH260303,26110
TH320406,43120
TH320406,41160
TH320406,40240
TH320406,32180
TH400410,43120
TH400410,41160
TH400410,40240
TH400410,32180
TH411701,43120
TH411701,41160
TH411701,40240
TH411701,32180
TH430521,43120
TH430521,41160
TH430521,40240
TH430521,32180
TH480106,48000
TH540302,56120
TH540302,54150
TH560504,56120
TH560504,54150
TH140120,13000
TH640303,13000
TH501106,57170
TH501106,52110
TH501106,50190
TH520503,57170
TH520503,52110
TH520503,50190
TH571103,57170
TH571103,52110
TH571103,50190
TH700501,57170
TH700501,52110
TH700501,50190
TH501510,54130
TH501510,50230
TH540407,54130
TH540407,50230
TH300807,36220
TH300405,30260
TH190804,41230
TH190804,18190
TH410903,41230
TH410903,18190
TH310308,31160
TH510502,51160
TH200114,20130
TH321605,32000
TH360904,36230
TH601109,36230
TH610601,36230
TH640609,36230
TH650502,36230
TH670321,36230
TH700122,36230
TH700408,36230
TH110202,10560
TH300306,30330
TH150112,14000
TH140204,13130
TH520504,52110
TH401601,40150
TH510605,51120
TH140121,13000
TH520602,52120
TH520110,52000
TH841405,52000
TH570803,57150
TH502303,50130
TH310703,32140
TH310703,31140
TH320510,32140
TH320510,31140
TH160602,15110
TH140616,25150
TH140616,13170
TH250601,25150
TH250601,13170
TH560115,56000
TH480903,53160
TH480903,48180
TH530503,53160
TH530503,48180
TH310416,31110
TH700707,31110
TH200604,20140
TH360306,36140
TH670309,36140
TH490503,49110
TH240602,24120
TH200105,20000
TH640102,20000
TH471204,47110
TH311604,31000
TH560106,56000
TH360703,50240
TH360703,36220
TH501603,50240
TH501603,36220
TH361104,36190
TH410105,41190
TH410105,41000
TH411112,41190
TH411112,41000
TH361101,40180
TH361101,36190
TH401805,40180
TH401805,36190
TH141211,13110
TH340411,34320
TH560503,56120
TH250803,25140
TH500303,50270
TH190207,41150
TH190207,18110
TH411902,41150
TH411902,18110
TH510701,51180
TH390302,54000
TH390302,39140
TH540111,54000
TH540111,39140
TH430206,47110
TH430206,43110
TH471221,47110
TH471221,43110
TH400105,40000
TH560107,56000
TH400303,40320
TH431603,43120
TH380404,38150
TH340804,34280
TH560105,56000
TH520113,52100
TH480803,48150
TH140607,40000
TH140607,13160
TH400109,40000
TH400109,13160
TH501507,50230
TH310907,31120
TH440910,44120
TH670323,44120
