district_code,sub_district_code,sub_district_name_en,sub_district_name_th
TH4208,TH420803,A Hi,อาฮี
TH9401,TH940102,A Noru,อาเนาะรู
TH3213,TH321305,A Phon,อาโพน
TH9506,TH950615,A Song,อาซ่อง
TH5507,TH550711,Ai Na Lai,อ่ายนาไลย
TH9502,TH950204,Aiyoe Weng,อัยเยอร์เวง
TH4508,TH450804,Ak Khakham,อัคคะคำ
TH4711,TH471101,Akat,อากาศ
TH1408,TH140802,Ammarit,อมฤต
TH3707,TH370701,Amnat,อำนาจ
TH7403,TH740310,Amphaeng,อำแพง
TH7503,TH750301,Amphawa,อัมพวา
TH7008,TH700808,Ang Hin,อ่างหิน
TH1504,TH150401,Ang Kaeo,อ่างแก้ว
TH2205,TH220508,Ang Khiri,อ่างคีรี
TH2001,TH200117,Ang Sila,อ่างศิลา
TH3419,TH341914,Ang Sila,อ่างศิลา
TH5603,TH560313,Ang Thong,อ่างทอง
TH6005,TH600504,Ang Thong,อ่างทอง
TH6201,TH620103,Ang Thong,อ่างทอง
TH7001,TH700108,Ang Thong,อ่างทอง
TH7703,TH770302,Ang Thong,อ่างทอง
TH8404,TH840401,Ang Thong,อ่างทอง
TH9311,TH931103,Ang Thong,อ่างทอง
TH1005,TH100502,Anusawari,อนุสาวรีย์
TH8105,TH810505,Ao Luek Noi,อ่าวลึกน้อย
TH8105,TH810506,Ao Luek Nuea,อ่าวลึกเหนือ
TH8105,TH810501,Ao Luek Tai,อ่าวลึกใต้
TH8101,TH810116,Ao Nang,อ่าวนาง
TH7701,TH770105,Ao Noi,อ่าวน้อย
TH9207,TH920703,Ao Tong,อ่าวตง
TH2301,TH230106,Ao Yai,อ่าวใหญ่
TH8414,TH841404,Aranyakham Wari,อรัญคามวารี
TH2706,TH270601,Aranyaprathet,อรัญประเทศ
TH6501,TH650117,Aranyik,อรัญญิก
TH1020,TH102009,Arun Ammarin,อรุณอมรินทร์
TH2603,TH260304,Asa,อาษา
TH4514,TH451401,At Samat,อาจสามารถ
TH4801,TH480107,At Samat,อาจสามารถ
TH3203,TH320306,Ba,บะ
TH9605,TH960508,Ba-Ngo Sato,บาโงสะโต
TH9506,TH950611,Ba-Ngoi,บาโงย
TH9505,TH950507,Ba-Ngoi Sinae,บาโงยซิแน
TH9210,TH921002,Ba Wi,บ้าหวี
TH9503,TH950302,Bacho,บาเจาะ
TH9603,TH960301,Bacho,บาเจาะ
TH4704,TH470409,Bahi,บะฮี
TH9006,TH900608,Bahoi,บาโหย
TH3214,TH321401,Bak Dai,บักได
TH3308,TH330802,Bak Dong,บักดอง
TH3506,TH350605,Bak Ruea,บากเรือ
TH9507,TH950702,Bala,บาละ
TH9506,TH950610,Balo,บาลอ
TH9409,TH940913,Baloi,บาโลย
TH5017,TH501704,Ban Aen,บ้านแอ่น
TH4516,TH451608,Ban Bak,บ้านบาก
TH4903,TH490305,Ban Bak,บ้านบาก
TH1008,TH100804,Ban Bat,บ้านบาตร
TH7401,TH740104,Ban Bo,บ้านบ่อ
TH1605,TH160510,Ban Boek,บ้านเบิก
TH5210,TH521005,Ban Bom,บ้านบอม
TH3101,TH310104,Ban Bua,บ้านบัว
TH3604,TH360410,Ban Bua,บ้านบัว
TH2002,TH200201,Ban Bueng,บ้านบึง
TH6106,TH610611,Ban Bueng,บ้านบึง
TH7010,TH701002,Ban Bueng,บ้านบึง
TH6601,TH660110,Ban Bung,บ้านบุ่ง
TH1702,TH170206,Ban Cha,บ้านจ่า
TH8019,TH801902,Ban Cha-Uat,บ้านชะอวด
TH4514,TH451403,Ban Chaeng,บ้านแจ้ง
TH4111,TH411107,Ban Chai,บ้านชัย
TH4101,TH410117,Ban Chan,บ้านจั่น
TH4111,TH411106,Ban Chan,บ้านจันทน์
TH5025,TH502501,Ban Chan,บ้านจันทร์
TH3109,TH310903,Ban Chan,บ้านจาน
TH3210,TH321008,Ban Chan,บ้านจารย์
TH1301,TH130104,Ban Chang,บ้านฉาง
TH2102,TH210203,Ban Chang,บ้านฉาง
TH1414,TH141402,Ban Chang,บ้านช้าง
TH2006,TH200618,Ban Chang,บ้านช้าง
TH5006,TH500611,Ban Chang,บ้านช้าง
TH7207,TH720709,Ban Chang,บ้านช้าง
TH1020,TH102005,Ban Chang Lo,บ้านช่างหล่อ
TH1606,TH160605,Ban Chi,บ้านชี
TH1806,TH180602,Ban Chian,บ้านเชี่ยน
TH3614,TH361401,Ban Chiang,บ้านเจียง
TH4106,TH410609,Ban Chiang,บ้านเชียง
TH4124,TH412401,Ban Chiet,บ้านจีต
TH3210,TH321015,Ban Chop,บ้านชบ
TH3607,TH360701,Ban Chuan,บ้านชวน
TH1403,TH140304,Ban Chung,บ้านชุ้ง
TH6005,TH600505,Ban Daen,บ้านแดน
TH3411,TH341122,Ban Daeng,บ้านแดง
TH4123,TH412301,Ban Daeng,บ้านแดง
TH5709,TH570908,Ban Dai,บ้านด้าย
TH2706,TH270613,Ban Dan,บ้านด่าน
TH3121,TH312101,Ban Dan,บ้านด่าน
TH5301,TH530111,Ban Dan,บ้านด่าน
TH6402,TH640202,Ban Dan,บ้านด่าน
TH5301,TH530110,Ban Dan Na Kham,บ้านด่านนาขาม
TH5307,TH530702,Ban Dara,บ้านดารา
TH3610,TH361011,Ban Don,บ้านดอน
TH7209,TH720904,Ban Don,บ้านดอน
TH4008,TH400802,Ban Dong,บ้านดง
TH5202,TH520201,Ban Dong,บ้านดง
TH6503,TH650304,Ban Dong,บ้านดง
TH3113,TH311303,Ban Du,บ้านดู่
